TransactionID,CustomerID,TransactionDate,TransactionType,Amount,ProductCategory,ProductSubcategory,BranchCity,BranchLat,BranchLong,Channel,Currency,CreditCardFees,InsuranceFees,LatePaymentAmount,CustomerScore,MonthlyIncome,CustomerSegment,RecommendedOffer
1,8270,2025-01-29 00:00:00,Card Payment,6980.185223,Checking Account,Gold,Seville,37.3891,-5.9845,Branch,EUR,0,0,0,839,5767.68,Middle Income Segment,Mid-tier Savings Booster
2,1860,2023-02-10 00:00:00,Deposit,10786.37185,Mortgage,Gold,Murcia,37.9847,-1.1287,Branch,EUR,0,0,0,683,2441,Low Income Segment,Financial Literacy Program Access
3,6390,2024-03-07 00:00:00,Transfer,3982.761111,Loan,Platinum,Malaga,36.7213,-4.4214,ATM,EUR,0,92.46,0,500,9957.08,High Income Segment,Premium Investment Services
4,6191,2023-07-04 00:00:00,Withdrawal,12408.64414,Mortgage,Standard,Seville,37.3891,-5.9845,ATM,EUR,0,0,0,392,1545.8,Low Income Segment,Financial Literacy Program Access
5,6734,2025-02-05 00:00:00,Fee,1868.260998,Checking Account,Platinum,Murcia,37.9847,-1.1287,Mobile,USD,0,0,0,368,5825.27,Middle Income Segment,Mid-tier Savings Booster
6,7265,2023-09-30 00:00:00,Card Payment,3165.15063,Savings Account,Platinum,Murcia,37.9847,-1.1287,Branch,EUR,0,0,0,793,6234.59,Middle Income Segment,Mid-tier Savings Booster
7,1466,2023-02-11 00:00:00,Fee,4771.087539,Savings Account,Student,Seville,37.3891,-5.9845,Mobile,EUR,0,0,0,441,6436.8,Middle Income Segment,Mid-tier Savings Booster
8,5426,2024-01-14 00:00:00,Deposit,4484.855719,Checking Account,Platinum,Murcia,37.9847,-1.1287,Branch,EUR,0,0,0,419,1576.34,Low Income Segment,Financial Literacy Program Access
9,6578,2023-07-15 00:00:00,Deposit,9929.003111,Loan,Gold,Murcia,37.9847,-1.1287,Online,EUR,0,42.66,0,687,5407.32,Middle Income Segment,Personal Loan Cashback Offer
10,9322,2024-02-14 00:00:00,Transfer,3669.693233,Savings Account,Business,Bilbao,43.263,-2.935,Branch,EUR,0,0,0,617,7940.49,High Income Segment,Premium Investment Services
11,2685,2023-01-04 00:00:00,Deposit,10750.80782,Loan,Student,Bilbao,43.263,-2.935,Branch,EUR,0,33.97,0,843,9910.87,High Income Segment,Premium Investment Services
12,1769,2023-11-23 00:00:00,Card Payment,9476.064541,Credit Card,Gold,Valencia,39.4699,-0.3763,ATM,EUR,40,0,0,383,6000.41,Middle Income Segment,Gold Card with Travel Benefits
13,7949,2023-10-24 00:00:00,Loan Payment,347.078478,Mortgage,Business,Malaga,36.7213,-4.4214,Online,EUR,0,0,26.89,484,5906.51,Middle Income Segment,Mid-tier Savings Booster
14,3433,2023-03-03 00:00:00,Loan Payment,282.1119571,Credit Card,Business,Seville,37.3891,-5.9845,Mobile,EUR,23.5,0,142.66,662,3858.5,Middle Income Segment,Gold Card with Travel Benefits
15,6311,2023-05-30 00:00:00,Deposit,2967.03972,Savings Account,Student,Bilbao,43.263,-2.935,Branch,EUR,0,0,0,730,1012.55,Low Income Segment,No-Fee Basic Account
16,6051,2023-04-20 00:00:00,Card Payment,4760.063919,Savings Account,Platinum,Valencia,39.4699,-0.3763,Mobile,USD,0,0,0,332,6165.08,Middle Income Segment,Mid-tier Savings Booster
17,7420,2024-10-08 00:00:00,Loan Payment,6036.819687,Loan,Student,Madrid,40.4168,-3.7038,Mobile,EUR,0,14.51,101.65,827,6732.4,Middle Income Segment,Personal Loan Cashback Offer
18,2184,2023-12-21 00:00:00,Fee,4189.673892,Savings Account,Student,Madrid,40.4168,-3.7038,Branch,EUR,0,0,0,383,8253.9,High Income Segment,Premium Investment Services
19,5555,2025-05-05 00:00:00,Card Payment,9537.538641,Loan,Student,Murcia,37.9847,-1.1287,Online,EUR,0,26.68,0,711,4055.12,Middle Income Segment,Personal Loan Cashback Offer
20,4385,2023-05-05 00:00:00,Card Payment,3889.236162,Checking Account,Business,Bilbao,43.263,-2.935,ATM,EUR,0,0,0,635,7191.14,High Income Segment,Premium Investment Services
21,7396,2024-01-17 00:00:00,Deposit,2562.163609,Savings Account,Platinum,Valencia,39.4699,-0.3763,ATM,EUR,0,0,0,748,8547.74,High Income Segment,Premium Investment Services
22,9666,2024-11-17 00:00:00,Fee,3404.541799,Checking Account,Standard,Valencia,39.4699,-0.3763,Branch,EUR,0,0,0,606,5573.25,Middle Income Segment,Mid-tier Savings Booster
23,3558,2024-10-20 00:00:00,Fee,1972.456601,Checking Account,Business,Malaga,36.7213,-4.4214,Mobile,EUR,0,0,0,828,2763.09,Low Income Segment,Financial Literacy Program Access
24,8849,2023-04-23 00:00:00,Loan Payment,12796.84636,Mortgage,Student,Bilbao,43.263,-2.935,ATM,USD,0,0,170.94,465,8635.25,High Income Segment,Exclusive Platinum Package
25,3047,2025-02-28 00:00:00,Transfer,2611.927729,Loan,Business,Murcia,37.9847,-1.1287,ATM,EUR,0,48.66,0,479,7386.01,High Income Segment,Premium Investment Services
26,3747,2024-08-14 00:00:00,Fee,7072.808735,Checking Account,Gold,Murcia,37.9847,-1.1287,Online,EUR,0,0,0,507,9394.88,High Income Segment,Premium Investment Services
27,1189,2023-01-07 00:00:00,Loan Payment,5369.450372,Mortgage,Platinum,Malaga,36.7213,-4.4214,ATM,EUR,0,0,65.11,607,6298.02,Middle Income Segment,Mid-tier Savings Booster
28,3734,2024-01-06 00:00:00,Transfer,137.0270871,Savings Account,Standard,Barcelona,41.3874,2.1686,ATM,EUR,0,0,0,639,6773.86,Middle Income Segment,Mid-tier Savings Booster
29,4005,2025-01-01 00:00:00,Card Payment,844.0301918,Savings Account,Platinum,Malaga,36.7213,-4.4214,Online,EUR,0,0,0,589,4948.54,Middle Income Segment,Mid-tier Savings Booster
